Date,Branch,Type,Station,Time,Period,trip_short_name,Status
7/1/2018,Hunt. Hicks.,Depart:,Huntington Station, 8:10AM,Off Peak,7617,Late - 6 mins
,,Arrive:,Penn Station, 9:16AM,,,
7/1/2018,Ronk. (greenpt.),Depart:,Penn Station, 8:13AM,Off Peak,8012,Late - 7 mins
,,Arrive:,Ronkonkoma Station, 9:35AM,,,
7/1/2018,Hunt. Hicks.,Depart:,Penn Station, 8:53AM,Off Peak,7620,Late - 9 mins
,,Arrive:,Huntington Station, 9:57AM,,,
7/1/2018,Long Beach,Depart:,Long Beach Station, 8:55AM,Off Peak,6815,Late - 7 mins
,,Arrive:,Penn Station, 9:52AM,,,
7/1/2018,Montauk,Depart:,Jamaica Station,10:10AM,Off Peak,8706,Late - 71 mins
,,Arrive:,Montauk Station,12:53PM,,,
7/1/2018,Long Beach,Depart:,Penn Station,10:43AM,Off Peak,6818,Late - 8 mins
,,Arrive:,Long Beach Station,11:39AM,,,
7/1/2018,Montauk,Depart:,Montauk Station,11:26AM,Off Peak,8703,Late - 7 mins
,,Arrive:,Jamaica Station, 1:58PM,,,
7/1/2018,Montauk,Depart:,Jamaica Station,12:10PM,Off Peak,8710,Late - 47 mins
,,Arrive:,Montauk Station, 2:53PM,,,
7/1/2018,Far Rockaway,Depart:,Atlantic Terminal,12:14PM,Off Peak,8850,Late - 7 mins
,,Arrive:,Jamaica Station,12:35PM,,,
7/1/2018,Ronk. (greenpt.),Depart:,Penn Station, 1:13PM,Off Peak,8052,Late - 14 mins
,,Arrive:,Ronkonkoma Station, 2:35PM,,,
7/1/2018,Montauk,Depart:,Patchogue Station, 1:21PM,Off Peak,8763,Late - 7 mins
,,Arrive:,Jamaica Station, 2:32PM,,,
7/1/2018,Montauk,Depart:,Montauk Station, 1:26PM,Off Peak,8705,Late - 51 mins
,,Arrive:,Jamaica Station, 3:58PM,,,
7/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 1:40PM,Off Peak,8053,Late - 15 mins
,,Arrive:,Penn Station, 2:59PM,,,
7/1/2018,Ronk. (greenpt.),Depart:,Penn Station, 2:13PM,Off Peak,8054,Late - 21 mins
