shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,40.73606219,-73.88900189,163
1,40.73579533,-73.88837122,164
1,40.73552833,-73.88774066,165
1,40.73526098,-73.88711036,166
1,40.73499349,-73.88648016,167
1,40.73472629,-73.88584975,168
1,40.73445979,-73.88521883,169
1,40.73419648,-73.88458561,170
1,40.73394096,-73.88394698,171
1,40.73369258,-73.88330343,172
1,40.73345081,-73.88265556,173
1,40.73321199,-73.88200578,174
1,40.73297363,-73.88135571,175
1,40.73273559,-73.88070545,176
1,40.73249769,-73.88005509,177
1,40.73225998,-73.87940462,178
1,40.73202218,-73.8787542,179
1,40.73178373,-73.8781042,180
1,40.73154642,-73.87745348,181
1,40.73130928,-73.87680266,182
1,40.73107131,-73.87615236,183
1,40.73083326,-73.87550211,184
1,40.7305952,-73.87485188,185
1,40.73035714,-73.87420164,186
1,40.73011897,-73.87355149,187
1,40.72988074,-73.87290136,188
1,40.72964325,-73.87225077,189
1,40.72940491,-73.87160073,190
1,40.72916604,-73.87095102,191
1,40.72892812,-73.87030071,192
1,40.72868999,-73.86965054,193
1,40.72845141,-73.86900065,194
1,40.72821307,-73.86835062,195
1,40.72797499,-73.86770042,196
1,40.72773718,-73.86705005,197
1,40.72749933,-73.86639971,198
1,40.72726137,-73.86574945,199
1,40.72702385,-73.86509891,200
1,40.72678626,-73.86444841,201
1,40.72654768,-73.86379854,202
1,40.72630931,-73.86314855,203
1,40.72607111,-73.86249844,204
1,40.72583298,-73.8618483,205
1,40.72559484,-73.86119815,206
1,40.72535658,-73.8605481,207
1,40.72511824,-73.85989809,208
1,40.72487996,-73.85924805,209
1,40.7246417,-73.858598,210
1,40.72440346,-73.85794794,211
1,40.72416529,-73.85729783,212
1,40.72392766,-73.85664739,213
1,40.7236898,-73.85599709,214
1,40.72345141,-73.85534714,215
1,40.72321325,-73.85469704,216
1,40.72297504,-73.85404697,217
1,40.72273683,-73.85339691,218
1,40.72249906,-73.85274656,219
1,40.72226128,-73.85209623,220
1,40.72202318,-73.8514461,221
1,40.7217849,-73.85079609,222
1,40.72154646,-73.85014618,223
1,40.721308,-73.84949629,224
1,40.7210695,-73.84884643,225
1,40.72083108,-73.84819652,226
1,40.72059295,-73.84754642,227
1,40.72035476,-73.84689636,228
1,40.72011667,-73.84624625,229
1,40.7198786,-73.84559613,230
1,40.71963988,-73.84494641,231
1,40.71940104,-73.84429678,232
1,40.71915933,-73.84364902,233
1,40.71890584,-73.84300914,234
1,40.71863663,-73.84238047,235
1,40.71835042,-73.84176491,236
1,40.71804858,-73.8411624,237
1,40.7177304,-73.84057457,238
1,40.71739678,-73.84000177,239
1,40.71704724,-73.83944557,240
1,40.71668372,-73.83890507,241
1,40.71630557,-73.83838223,242
1,40.71591334,-73.83787761,243
1,40.71550895,-73.83738984,244
1,40.71509495,-73.83691613,245
1,40.71467548,-73.83645078,246
1,40.71425671,-73.83598431,247
1,40.71383781,-73.83551805,248
1,40.7134189,-73.83505181,249
1,40.71299977,-73.83458591,250
1,40.71258053,-73.83412019,251
1,40.71216129,-73.83365445,252
1,40.71174232,-73.83318832,253
1,40.7113234,-73.8327221,254
1,40.71090395,-73.83225673,255
1,40.71048439,-73.8317915,256
1,40.71006493,-73.83132613,257
1,40.70964564,-73.8308605,258
1,40.70922628,-73.83039499,259
1,40.70880692,-73.82992949,260
1,40.70838765,-73.82946383,261
1,40.70796851,-73.82899799,262
1,40.70754916,-73.82853246,263
1,40.7071297,-73.82806712,264
1,40.70671012,-73.82760196,265
1,40.70629099,-73.82713611,266
1,40.70587194,-73.82667014,267
1,40.70545275,-73.82620438,268
1,40.70503362,-73.82573855,269
1,40.70461418,-73.82527319,270
1,40.70419475,-73.82480781,271
1,40.70377514,-73.82434272,272
1,40.70335515,-73.82387824,273
1,40.70293612,-73.82341224,274
1,40.70251796,-73.82294496,275
1,40.70209732,-73.82248155,276
1,40.70167806,-73.82201594,277
1,40.70126355,-73.82154314,278
1,40.70085925,-73.82105531,279
1,40.70046833,-73.82054906,280
1,40.70009145,-73.82002483,281
1,40.69973619,-73.8194753,282
1,40.69941036,-73.81889522,283
1,40.69911722,-73.81828582,284
1,40.69885723,-73.81765094,285
1,40.69863968,-73.8169895,286
1,40.69847775,-73.81630146,287
1,40.69838756,-73.81559126,288
1,40.69837176,-73.81487131,289
1,40.69842389,-73.81415444,290
1,40.69854525,-73.81345175,291
