Date,Branch,Type,Station,Time,Period,trip_short_name,Status
8/1/2018,Montauk,Depart:,Babylon Station,12:35AM,Off Peak,2730,Late - 10 mins
,,Arrive:,Speonk Station, 1:35AM,,,
8/1/2018,Hunt. Hicks.,Depart:,Penn Station, 1:05AM,Off Peak,1602,Late - 8 mins
,,Arrive:,Huntington Station, 2:13AM,,,
8/1/2018,Babylon,Depart:,Babylon Station, 3:35AM,Off Peak,9,Late - 6 mins
,,Arrive:,Penn Station, 4:49AM,,,
8/1/2018,Hunt. Hicks.,Depart:,Huntington Station, 3:38AM,Off Peak,1607,Late - 9 mins
,,Arrive:,Penn Station, 4:42AM,,,
8/1/2018,Montauk,Depart:,Montauk Station, 5:39AM,AM Peak,2703,Late - 6 mins
,,Arrive:,Jamaica Station, 8:17AM,,,
8/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 6:39AM,AM Peak,2015,Late - 11 mins
,,Arrive:,Penn Station, 7:59AM,,,
8/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 6:56AM,AM Peak,2019,Late - 13 mins
,,Arrive:,Atlantic Terminal, 8:17AM,,,
8/1/2018,Babylon,Depart:,Massapequa Park Station, 7:11AM,AM Peak,1013,Late - 6 mins
,,Arrive:,Penn Station, 8:08AM,,,
8/1/2018,Montauk,Depart:,Speonk Station, 7:12AM,AM Peak,2739,Late - 7 mins
,,Arrive:,Hunterspoint Ave., 9:11AM,,,
8/1/2018,Ronk. (greenpt.),Depart:,Brentwood Station, 7:15AM,AM Peak,2021,Late - 22 mins
,,Arrive:,Penn Station, 8:23AM,,,
8/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 7:19AM,AM Peak,2023,Late - 24 mins
,,Arrive:,Penn Station, 8:26AM,,,
8/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 7:32AM,AM Peak,2025,Late - 16 mins
,,Arrive:,Penn Station, 8:48AM,,,
8/1/2018,Babylon,Depart:,Babylon Station, 7:35AM,AM Peak,43,Late - 9 mins
,,Arrive:,Penn Station, 8:45AM,,,
8/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 7:40AM,AM Peak,2031,Late - 16 mins
,,Arrive:,Atlantic Terminal, 9:01AM,,,
8/1/2018,Ronk. (greenpt.),Depart:,Bethpage Station, 7:58AM,AM Peak,2309,Late - 9 mins
,,Arrive:,Penn Station, 8:53AM,,,
8/1/2018,Far Rockaway,Depart:,Valley Stream Station, 8:03AM,AM Peak,2819,Late - 6 mins
,,Arrive:,Penn Station, 8:42AM,,,
8/1/2018,Hempstead,Depart:,Hempstead Station, 8:03AM,AM Peak,723,Late - 8 mins
,,Arrive:,Penn Station, 8:51AM,,,
8/1/2018,Long Beach,Depart:,Long Beach Station, 8:08AM,AM Peak,825,Late - 7 mins
,,Arrive:,Penn Station, 9:02AM,,,
8/1/2018,Babylon,Depart:,Freeport Station, 8:10AM,AM Peak,1105,Late - 7 mins
,,Arrive:,Penn Station, 8:50AM,,,
8/1/2018,Far Rockaway,Depart:,Far Rockaway Station, 8:10AM,AM Peak,2823,Late - 6 mins
,,Arrive:,Penn Station, 9:05AM,,,
8/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 8:31AM,AM Peak,2035,Late - 8 mins
,,Arrive:,Penn Station, 9:56AM,,,
