Date,Branch,Type,Station,Time,Period,trip_short_name,Status
12/1/2018,Port Washington,Depart:,Penn Station,12:18AM,Off Peak,6400,Late - 12 mins
,,Arrive:,Port Washington Station,á1:03AM,,,
12/1/2018,Babylon,Depart:,Penn Station,12:43AM,Off Peak,6002,Late - 13 mins
,,Arrive:,Babylon Station,á2:01AM,,,
12/1/2018,Babylon,Depart:,Penn Station,á4:55AM,Off Peak,6008,Late - 9 mins
,,Arrive:,Babylon Station,á6:10AM,,,
12/1/2018,Ronk. (greenpt.),Depart:,Penn Station,á8:13AM,Off Peak,8012,Late - 9 mins
,,Arrive:,Ronkonkoma Station,á9:35AM,,,
12/1/2018,Hunt. Hicks.,Depart:,Penn Station,10:26AM,Off Peak,7626,Late - 11 mins
,,Arrive:,Huntington Station,11:35AM,,,
12/1/2018,Hunt. Hicks.,Depart:,Penn Station,11:26AM,Off Peak,7630,Late - 13 mins
,,Arrive:,Huntington Station,12:35PM,,,
12/1/2018,Port Jefferson,Depart:,Huntington Station,11:42AM,Off Peak,6610,Late - 13 mins
,,Arrive:,Port Jefferson Station,12:27PM,,,
12/1/2018,Hunt. Hicks.,Depart:,Penn Station,12:26PM,Off Peak,7702,Late - 7 mins
,,Arrive:,Huntington Station,á1:35PM,,,
12/1/2018,Hunt. Hicks.,Depart:,Penn Station,á1:26PM,Off Peak,7706,Late - 6 mins
,,Arrive:,Huntington Station,á2:35PM,,,
12/1/2018,Babylon,Depart:,Penn Station,á3:23PM,Off Peak,6114,Late - 6 mins
,,Arrive:,Babylon Station,á4:23PM,,,
12/1/2018,Oyster Bay,Depart:,Jamaica Station,á6:53PM,Off Peak,6556,Late - 9 mins
,,Arrive:,Oyster Bay Station,á7:52PM,,,
12/1/2018,Montauk,Depart:,Babylon Station,á9:27PM,Off Peak,8778,Late - 10 mins
,,Arrive:,Patchogue Station,á9:57PM,,,
12/1/2018,Babylon,Depart:,Penn Station,10:23PM,Off Peak,6142,Late - 9 mins
,,Arrive:,Babylon Station,11:23PM,,,
12/1/2018,Hunt. Hicks.,Depart:,Penn Station,10:26PM,Off Peak,7742,Late - 10 mins
,,Arrive:,Huntington Station,11:35PM,,,
12/1/2018,Babylon,Depart:,Penn Station,10:40PM,Off Peak,6144,Late - 11 mins
,,Arrive:,Babylon Station,11:56PM,,,
12/1/2018,Montauk,Depart:,Babylon Station,11:27PM,Off Peak,8740,Late - 12 mins
,,Arrive:,Speonk Station,12:27AM,,,
12/1/2018,Montauk,Depart:,Speonk Station,11:56PM,Off Peak,8745,Late - 9 mins
,,Arrive:,Jamaica Station,á1:39AM,,,
