Date,Branch,Type,Station,Time,Period,trip_short_name,Status
4/1/2018,Far Rockaway,Depart:,Atlantic Terminal, 7:23AM,Off Peak,8810,Late - 15 mins
,,Arrive:,Far Rockaway Station, 8:15AM,,,
4/1/2018,West Hempstead,Depart:,Valley Stream Station, 8:00AM,Off Peak,6902,Late - 15 mins
,,Arrive:,West Hempstead Station, 8:15AM,,,
4/1/2018,Long Beach,Depart:,Penn Station,10:46AM,Off Peak,6818,Late - 14 mins
,,Arrive:,Long Beach Station,11:42AM,,,
4/1/2018,Montauk,Depart:,Jamaica Station,12:10PM,Off Peak,8710,Late - 19 mins
,,Arrive:,Montauk Station, 3:00PM,,,
4/1/2018,Montauk,Depart:,Babylon Station,12:19PM,Off Peak,8764,Late - 39 mins
,,Arrive:,Patchogue Station,12:49PM,,,
4/1/2018,Port Washington,Depart:,Port Washington Station,12:42PM,Off Peak,6453,Late - 6 mins
,,Arrive:,Penn Station, 1:27PM,,,
4/1/2018,Montauk,Depart:,Babylon Station, 1:17PM,Off Peak,8766,Late - 8 mins
,,Arrive:,Patchogue Station, 1:47PM,,,
4/1/2018,Montauk,Depart:,Patchogue Station, 1:24PM,Off Peak,8763,Late - 17 mins
,,Arrive:,Jamaica Station, 2:32PM,,,
4/1/2018,Hunt. Hicks.,Depart:,Huntington Station, 2:36PM,Off Peak,7711,Late - 7 mins
,,Arrive:,Penn Station, 3:39PM,,,
4/1/2018,Port Washington,Depart:,Penn Station, 5:19PM,Off Peak,6470,Late - 27 mins
,,Arrive:,Port Washington Station, 6:05PM,,,
4/1/2018,Montauk,Depart:,Montauk Station, 5:35PM,Off Peak,8715,Late - 8 mins
,,Arrive:,Jamaica Station, 8:10PM,,,
4/1/2018,Far Rockaway,Depart:,Far Rockaway Station, 7:50PM,Off Peak,8865,Late - 7 mins
,,Arrive:,Atlantic Terminal, 8:42PM,,,
4/2/2018,Ronk. (greenpt.),Depart:,Greenport Station, 5:30AM,AM Peak,201,Partially Canceled
,,Arrive:,Ronkonkoma Station, 6:53AM,,,
4/2/2018,Babylon,Depart:,Freeport Station, 5:43AM,AM Peak,1191,Late - 6 mins
,,Arrive:,Penn Station, 6:24AM,,,
4/2/2018,Montauk,Depart:,Speonk Station, 6:21AM,AM Peak,2737,Late - 10 mins
,,Arrive:,Penn Station, 8:23AM,,,
4/2/2018,Port Jefferson,Depart:,Port Jefferson Station, 6:57AM,AM Peak,613,Late - 16 mins
,,Arrive:,Hunterspoint Ave., 8:43AM,,,
4/2/2018,Montauk,Depart:,Speonk Station, 7:12AM,AM Peak,2739,Late - 7 mins
,,Arrive:,Hunterspoint Ave., 9:11AM,,,
4/2/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 7:30AM,Off Peak,202,Late - 13 mins
,,Arrive:,Greenport Station, 8:54AM,,,
4/2/2018,Port Jefferson,Depart:,Port Jefferson Station, 7:35AM,AM Peak,615,Late - 9 mins
,,Arrive:,Penn Station, 9:24AM,,,
4/2/2018,Long Beach,Depart:,Long Beach Station, 7:39AM,AM Peak,819,Late - 6 mins
,,Arrive:,Penn Station, 8:32AM,,,
4/2/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 7:40AM,AM Peak,2031,Late - 7 mins
,,Arrive:,Atlantic Terminal, 9:01AM,,,
4/2/2018,Oyster Bay,Depart:,Oyster Bay Station, 7:41AM,AM Peak,509,Late - 7 mins
,,Arrive:,Hunterspoint Ave., 8:55AM,,,
4/2/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 7:57AM,AM Peak,2033,Late - 9 mins
,,Arrive:,Penn Station, 9:17AM,,,
4/2/2018,Babylon,Depart:,Babylon Station, 8:03AM,AM Peak,47,Late - 11 mins
,,Arrive:,Penn Station, 9:11AM,,,
4/2/2018,Hunt. Hicks.,Depart:,Huntington Station, 8:04AM,AM Peak,1631,Late - 7 mins
,,Arrive:,Penn Station, 9:08AM,,,
4/2/2018,Port Washington,Depart:,Port Washington Station, 8:08AM,AM Peak,425,Late - 10 mins
,,Arrive:,Penn Station, 8:42AM,,,
4/2/2018,Port Washington,Depart:,Great Neck Station, 8:24AM,AM Peak,309,Late - 6 mins
,,Arrive:,Penn Station, 8:59AM,,,
4/2/2018,West Hempstead,Depart:,West Hempstead Station, 8:28AM,AM Peak,909,Late - 8 mins
,,Arrive:,Atlantic Terminal, 9:16AM,,,
4/2/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 8:31AM,AM Peak,2035,Late - 16 mins
,,Arrive:,Penn Station, 9:56AM,,,
4/2/2018,Babylon,Depart:,Babylon Station, 8:35AM,AM Peak,51,Late - 12 mins
,,Arrive:,Penn Station, 9:37AM,,,
4/2/2018,Port Washington,Depart:,Port Washington Station, 8:45AM,AM Peak,429,Late - 8 mins
,,Arrive:,Penn Station, 9:20AM,,,
4/2/2018,Hunt. Hicks.,Depart:,Huntington Station, 8:55AM,Off Peak,1633,Late - 10 mins
,,Arrive:,Penn Station,10:05AM,,,
4/2/2018,Hempstead,Depart:,Atlantic Terminal, 9:06AM,Off Peak,712,Late - 7 mins
,,Arrive:,Hempstead Station, 9:58AM,,,
4/2/2018,Montauk,Depart:,Patchogue Station, 9:25AM,Off Peak,2765,Late - 7 mins
,,Arrive:,Babylon Station, 9:55AM,,,
4/2/2018,Ronk. (greenpt.),Depart:,Greenport Station, 9:43AM,Off Peak,203,Late - 9 mins
,,Arrive:,Ronkonkoma Station,11:06AM,,,
4/2/2018,Port Jefferson,Depart:,Port Jefferson Station,10:10AM,Off Peak,621,Late - 7 mins
,,Arrive:,Huntington Station,10:56AM,,,
4/2/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station,11:11AM,Off Peak,2041,Late - 6 mins
,,Arrive:,Penn Station,12:33PM,,,
4/2/2018,Babylon,Depart:,Babylon Station,11:15AM,Off Peak,67,Late - 6 mins
,,Arrive:,Penn Station,12:30PM,,,
4/2/2018,Ronk. (greenpt.),Depart:,Farmingdale Station,11:16AM,Off Peak,2317,Late - 7 mins
,,Arrive:,Penn Station,12:15PM,,,
4/2/2018,Port Washington,Depart:,Port Washington Station,11:40AM,Off Peak,441,Canceled
,,Arrive:,Penn Station,12:25PM,,,
4/2/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 2:11PM,Off Peak,2055,Late - 7 mins
,,Arrive:,Penn Station, 3:33PM,,,
4/2/2018,Babylon,Depart:,Babylon Station, 2:15PM,Off Peak,115,Late - 6 mins
,,Arrive:,Penn Station, 3:30PM,,,
4/2/2018,Babylon,Depart:,Babylon Station, 3:42PM,Off Peak,123,Late - 11 mins
,,Arrive:,Penn Station, 4:55PM,,,
4/2/2018,Hunt. Hicks.,Depart:,Huntington Station, 4:05PM,Off Peak,1713,Late - 6 mins
,,Arrive:,Penn Station, 5:14PM,,,
4/2/2018,Hempstead,Depart:,Penn Station, 4:33PM,PM Peak,758,Late - 8 mins
,,Arrive:,Hempstead Station, 5:23PM,,,
4/2/2018,Far Rockaway,Depart:,Far Rockaway Station, 4:38PM,Off Peak,2859,Late - 7 mins
,,Arrive:,Atlantic Terminal, 5:35PM,,,
4/2/2018,Babylon,Depart:,Penn Station, 5:37PM,PM Peak,156,Late - 6 mins
,,Arrive:,Babylon Station, 6:40PM,,,
4/2/2018,Port Washington,Depart:,Penn Station, 5:57PM,PM Peak,364,Late - 8 mins
,,Arrive:,Great Neck Station, 6:30PM,,,
4/2/2018,Babylon,Depart:,Penn Station, 6:00PM,PM Peak,160,Late - 7 mins
,,Arrive:,Babylon Station, 7:01PM,,,
4/2/2018,Port Washington,Depart:,Penn Station, 6:12PM,PM Peak,456,Late - 8 mins
,,Arrive:,Port Washington Station, 6:48PM,,,
4/2/2018,Port Washington,Depart:,Great Neck Station, 6:23PM,Off Peak,353,Late - 11 mins
,,Arrive:,Penn Station, 6:58PM,,,
4/2/2018,Port Washington,Depart:,Port Washington Station, 6:24PM,Off Peak,467,Late - 11 mins
,,Arrive:,Penn Station, 7:01PM,,,
4/2/2018,Port Washington,Depart:,Great Neck Station, 6:46PM,Off Peak,355,Late - 12 mins
,,Arrive:,Penn Station, 7:15PM,,,
4/2/2018,Ronk. (greenpt.),Depart:,Penn Station, 6:54PM,PM Peak,2080,Late - 48 mins
,,Arrive:,Ronkonkoma Station, 8:12PM,,,
4/2/2018,Port Washington,Depart:,Port Washington Station, 7:09PM,Off Peak,469,Late - 7 mins
,,Arrive:,Penn Station, 7:53PM,,,
4/2/2018,Ronk. (greenpt.),Depart:,Penn Station, 7:12PM,PM Peak,2082,Late - 40 mins
,,Arrive:,Ronkonkoma Station, 8:33PM,,,
4/2/2018,Ronk. (greenpt.),Depart:,Penn Station, 7:45PM,PM Peak,2084,Late - 16 mins
,,Arrive:,Ronkonkoma Station, 9:02PM,,,
4/2/2018,Hunt. Hicks.,Depart:,Penn Station, 7:55PM,PM Peak,1742,Late - 7 mins
,,Arrive:,Huntington Station, 9:02PM,,,
