Date,Branch,Type,Station,Time,Period,trip_short_name,Status
11/1/2018,Port Washington,Depart:,Penn Station, 1:18AM,Off Peak,402,Partially Canceled
,,Arrive:,Port Washington Station, 2:04AM,,,
11/1/2018,Babylon,Depart:,Babylon Station, 4:39AM,Off Peak,11,Late - 18 mins
,,Arrive:,Penn Station, 5:55AM,,,
11/1/2018,Hunt. Hicks.,Depart:,Huntington Station, 5:08AM,AM Peak,1609,Late - 6 mins
,,Arrive:,Penn Station, 6:11AM,,,
11/1/2018,Long Beach,Depart:,Atlantic Terminal, 6:48AM,Off Peak,808,Late - 6 mins
,,Arrive:,Long Beach Station, 7:36AM,,,
11/1/2018,Babylon,Depart:,Wantagh Station, 6:56AM,AM Peak,1009,Late - 6 mins
,,Arrive:,Penn Station, 7:43AM,,,
11/1/2018,Ronk. (greenpt.),Depart:,Farmingdale Station, 6:57AM,AM Peak,2303,Late - 7 mins
,,Arrive:,Penn Station, 7:48AM,,,
11/1/2018,Long Beach,Depart:,Atlantic Terminal, 7:30AM,Off Peak,812,Late - 9 mins
,,Arrive:,Long Beach Station, 8:22AM,,,
11/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 8:31AM,AM Peak,2035,Late - 6 mins
,,Arrive:,Penn Station, 9:56AM,,,
11/1/2018,Hunt. Hicks.,Depart:,Huntington Station, 8:55AM,Off Peak,1633,Late - 6 mins
,,Arrive:,Penn Station,10:05AM,,,
11/1/2018,Port Washington,Depart:,Great Neck Station, 9:32AM,Off Peak,315,Late - 8 mins
,,Arrive:,Penn Station,10:08AM,,,
11/1/2018,Babylon,Depart:,Babylon Station,10:00AM,Off Peak,59,Late - 6 mins
,,Arrive:,Penn Station,11:08AM,,,
11/1/2018,Ronk. (greenpt.),Depart:,Penn Station, 5:02PM,PM Peak,2064,Late - 21 mins
,,Arrive:,Ronkonkoma Station, 6:21PM,,,
11/1/2018,Long Beach,Depart:,Penn Station, 5:24PM,PM Peak,872,Late - 8 mins
,,Arrive:,Long Beach Station, 6:18PM,,,
11/1/2018,Ronk. (greenpt.),Depart:,Penn Station, 5:54PM,PM Peak,2072,Late - 11 mins
,,Arrive:,Ronkonkoma Station, 7:11PM,,,
11/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 5:57PM,Off Peak,2063,Late - 7 mins
,,Arrive:,Penn Station, 7:22PM,,,
11/1/2018,Hunt. Hicks.,Depart:,Penn Station, 6:02PM,PM Peak,1258,Late - 7 mins
,,Arrive:,Hicksville Station, 6:45PM,,,
11/1/2018,Port Washington,Depart:,Penn Station, 7:02PM,PM Peak,460,Late - 8 mins
,,Arrive:,Port Washington Station, 7:37PM,,,
11/1/2018,Ronk. (greenpt.),Depart:,Penn Station, 9:16PM,Off Peak,2088,Late - 18 mins
,,Arrive:,Ronkonkoma Station,10:37PM,,,
11/1/2018,Port Jefferson,Depart:,Port Jefferson Station, 9:41PM,Off Peak,663,Late - 6 mins
,,Arrive:,Hicksville Station,10:46PM,,,
11/1/2018,Port Jefferson,Depart:,Huntington Station, 9:55PM,Off Peak,672,Late - 9 mins
,,Arrive:,Port Jefferson Station,10:42PM,,,
11/1/2018,Ronk. (greenpt.),Depart:,Penn Station,10:16PM,Off Peak,2090,Late - 14 mins
,,Arrive:,Ronkonkoma Station,11:38PM,,,
11/1/2018,Babylon,Depart:,Penn Station,10:38PM,Off Peak,190,Late - 30 mins
,,Arrive:,Babylon Station,11:34PM,,,
11/1/2018,Port Washington,Depart:,Port Washington Station,10:38PM,Off Peak,483,Late - 6 mins
,,Arrive:,Penn Station,11:22PM,,,
11/1/2018,Ronk. (greenpt.),Depart:,Penn Station,10:43PM,Off Peak,2098,Late - 9 mins
,,Arrive:,Ronkonkoma Station,12:05AM,,,
11/1/2018,Babylon,Depart:,Penn Station,10:46PM,Off Peak,192,Late - 20 mins
,,Arrive:,Babylon Station,12:01AM,,,
11/1/2018,Babylon,Depart:,Babylon Station,10:55PM,Off Peak,157,Late - 7 mins
,,Arrive:,Penn Station,12:07AM,,,
11/1/2018,Port Jefferson,Depart:,Huntington Station,10:55PM,Off Peak,674,Late - 12 mins
,,Arrive:,Port Jefferson Station,11:44PM,,,
11/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station,11:08PM,Off Peak,2075,Late - 18 mins
,,Arrive:,Penn Station,12:37AM,,,
11/1/2018,Babylon,Depart:,Penn Station,11:09PM,Off Peak,194,Late - 20 mins
,,Arrive:,Babylon Station,12:27AM,,,
11/1/2018,Babylon,Depart:,Babylon Station,11:12PM,Off Peak,159,Late - 21 mins
,,Arrive:,Penn Station,12:10AM,,,
11/1/2018,Ronk. (greenpt.),Depart:,Penn Station,11:15PM,Off Peak,2092,Late - 23 mins
,,Arrive:,Ronkonkoma Station,12:37AM,,,
11/1/2018,Montauk,Depart:,Patchogue Station,11:22PM,Off Peak,2781,Late - 8 mins
,,Arrive:,Babylon Station,11:52PM,,,
11/1/2018,Port Jefferson,Depart:,Port Jefferson Station,11:22PM,Off Peak,665,Late - 9 mins
,,Arrive:,Huntington Station,12:10AM,,,
11/1/2018,Babylon,Depart:,Babylon Station,11:24PM,Off Peak,161,Late - 18 mins
,,Arrive:,Penn Station,12:41AM,,,
11/1/2018,Port Jefferson,Depart:,Hicksville Station,11:31PM,Off Peak,676,Late - 8 mins
,,Arrive:,Port Jefferson Station,12:35AM,,,
11/1/2018,Babylon,Depart:,Penn Station,11:36PM,Off Peak,196,Late - 17 mins
,,Arrive:,Babylon Station,12:35AM,,,
11/1/2018,Montauk,Depart:,Babylon Station,11:37PM,Off Peak,2746,Late - 22 mins
,,Arrive:,Speonk Station,12:38AM,,,
11/1/2018,Babylon,Depart:,Penn Station,11:40PM,Off Peak,198,Late - 21 mins
,,Arrive:,Babylon Station,12:57AM,,,
11/1/2018,Babylon,Depart:,Babylon Station,11:56PM,Off Peak,163,Late - 15 mins
,,Arrive:,Penn Station, 1:10AM,,,
11/2/2018,Babylon,Depart:,Penn Station,12:02AM,Off Peak,2,Late - 8 mins
,,Arrive:,Babylon Station, 1:19AM,,,
11/2/2018,Montauk,Depart:,Babylon Station,12:38AM,Off Peak,2730,Late - 13 mins
,,Arrive:,Speonk Station, 1:38AM,,,
11/2/2018,Babylon,Depart:,Penn Station,12:40AM,Off Peak,4,Late - 20 mins
,,Arrive:,Babylon Station, 1:57AM,,,
11/2/2018,Babylon,Depart:,Babylon Station, 1:29AM,Off Peak,5,Late - 7 mins
,,Arrive:,Penn Station, 2:46AM,,,
11/2/2018,Far Rockaway,Depart:,Far Rockaway Station, 1:44AM,Off Peak,2803,Late - 14 mins
,,Arrive:,Jamaica Station, 2:19AM,,,
11/2/2018,Babylon,Depart:,Penn Station, 1:49AM,Off Peak,6,Late - 10 mins
,,Arrive:,Babylon Station, 3:06AM,,,
11/2/2018,Hempstead,Depart:,Hempstead Station, 1:53AM,Off Peak,705,Late - 6 mins
,,Arrive:,Jamaica Station, 2:24AM,,,
11/2/2018,Babylon,Depart:,Babylon Station, 3:21AM,Off Peak,7,Late - 12 mins
,,Arrive:,Penn Station, 4:18AM,,,
11/2/2018,Babylon,Depart:,Babylon Station, 4:39AM,Off Peak,11,Late - 8 mins
,,Arrive:,Penn Station, 5:55AM,,,
11/2/2018,Montauk,Depart:,Southampton Station, 4:41AM,AM Peak,2791,Late - 6 mins
,,Arrive:,Penn Station, 7:02AM,,,
11/2/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 5:42AM,AM Peak,2099,Partially Canceled
,,Arrive:,Penn Station, 6:58AM,,,
11/2/2018,Port Jefferson,Depart:,Port Jefferson Station, 5:44AM,AM Peak,605,Late - 11 mins
,,Arrive:,Penn Station, 7:20AM,,,
11/2/2018,Oyster Bay,Depart:,Oyster Bay Station, 5:50AM,AM Peak,503,Late - 6 mins
