Date,Branch,Type,Station,Time,Period,trip_short_name,Status
,,Arrive:,Babylon Station, 2:13PM,,,
1/1/2018,Hunt. Hicks.,Depart:,Huntington Station, 1:03PM,Off Peak,7705,Late - 6 mins
,,Arrive:,Penn Station, 2:07PM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 1:10PM,Off Peak,6105,Canceled
,,Arrive:,Penn Station, 2:14PM,,,
1/1/2018,Hempstead,Depart:,Hempstead Station, 1:13PM,Off Peak,6753,Late - 7 mins
,,Arrive:,Atlantic Terminal, 2:07PM,,,
1/1/2018,Montauk,Depart:,Patchogue Station, 1:24PM,Off Peak,8763,Late - 6 mins
,,Arrive:,Jamaica Station, 2:32PM,,,
1/1/2018,Babylon,Depart:,Penn Station, 1:26PM,Off Peak,6104,Late - 65 mins
,,Arrive:,Babylon Station, 2:43PM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 1:28PM,Off Peak,6107,Late - 41 mins
,,Arrive:,Penn Station, 2:45PM,,,
1/1/2018,Babylon,Depart:,Penn Station, 1:56PM,Off Peak,6108,Canceled
,,Arrive:,Babylon Station, 3:12PM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 1:59PM,Off Peak,6109,Canceled
,,Arrive:,Penn Station, 3:14PM,,,
1/1/2018,Babylon,Depart:,Penn Station, 2:26PM,Off Peak,6110,Late - 73 mins
,,Arrive:,Babylon Station, 3:42PM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 2:28PM,Off Peak,6111,Late - 50 mins
,,Arrive:,Penn Station, 3:45PM,,,
1/1/2018,Montauk,Depart:,Jamaica Station, 2:41PM,Off Peak,8736,Late - 10 mins
,,Arrive:,Speonk Station, 4:22PM,,,
1/1/2018,Oyster Bay,Depart:,Jamaica Station, 2:52PM,Off Peak,6550,Late - 13 mins
,,Arrive:,Oyster Bay Station, 3:46PM,,,
1/1/2018,Babylon,Depart:,Penn Station, 2:56PM,Off Peak,6112,Canceled
,,Arrive:,Babylon Station, 4:12PM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 3:10PM,Off Peak,6113,Canceled
,,Arrive:,Penn Station, 4:14PM,,,
1/1/2018,Port Washington,Depart:,Port Washington Station, 3:11PM,Off Peak,6463,Late - 7 mins
,,Arrive:,Penn Station, 3:56PM,,,
1/1/2018,Babylon,Depart:,Penn Station, 3:16PM,Off Peak,6114,Canceled
,,Arrive:,Babylon Station, 4:21PM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 3:28PM,Off Peak,6115,Canceled
,,Arrive:,Penn Station, 4:44PM,,,
1/1/2018,Montauk,Depart:,Montauk Station, 3:30PM,Off Peak,8709,Late - 7 mins
,,Arrive:,Jamaica Station, 6:10PM,,,
1/1/2018,Babylon,Depart:,Penn Station, 3:56PM,Off Peak,6116,Canceled
,,Arrive:,Babylon Station, 5:12PM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 4:10PM,Off Peak,6119,Canceled
,,Arrive:,Penn Station, 5:14PM,,,
1/1/2018,Port Washington,Depart:,Port Washington Station, 4:11PM,Off Peak,6467,Late - 7 mins
,,Arrive:,Penn Station, 4:56PM,,,
1/1/2018,Ronk. (greenpt.),Depart:,Penn Station, 4:13PM,Off Peak,8058,Late - 7 mins
,,Arrive:,Ronkonkoma Station, 5:32PM,,,
1/1/2018,Babylon,Depart:,Penn Station, 4:16PM,Off Peak,6118,Canceled
,,Arrive:,Babylon Station, 5:21PM,,,
1/1/2018,Montauk,Depart:,Babylon Station, 4:26PM,Off Peak,8770,Canceled
,,Arrive:,Patchogue Station, 4:56PM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 4:28PM,Off Peak,6121,Canceled
,,Arrive:,Penn Station, 5:44PM,,,
1/1/2018,Babylon,Depart:,Penn Station, 4:56PM,Off Peak,6120,Partially Canceled
,,Arrive:,Babylon Station, 6:12PM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 4:58PM,Off Peak,6125,Canceled
,,Arrive:,Penn Station, 6:14PM,,,
1/1/2018,Port Washington,Depart:,Port Washington Station, 5:11PM,Off Peak,6471,Late - 7 mins
,,Arrive:,Penn Station, 5:56PM,,,
1/1/2018,Oyster Bay,Depart:,Oyster Bay Station, 5:19PM,Off Peak,6559,Late - 7 mins
,,Arrive:,Jamaica Station, 6:13PM,,,
1/1/2018,Montauk,Depart:,Patchogue Station, 5:23PM,Off Peak,8769,Canceled
,,Arrive:,Jamaica Station, 6:32PM,,,
1/1/2018,Babylon,Depart:,Penn Station, 5:26PM,Off Peak,6122,Canceled
,,Arrive:,Babylon Station, 6:43PM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 5:28PM,Off Peak,6127,Canceled
,,Arrive:,Penn Station, 6:45PM,,,
1/1/2018,Hunt. Hicks.,Depart:,Huntington Station, 5:36PM,Off Peak,7723,Late - 13 mins
,,Arrive:,Penn Station, 6:39PM,,,
1/1/2018,Montauk,Depart:,Jamaica Station, 5:41PM,Off Peak,8774,Late - 44 mins
,,Arrive:,Patchogue Station, 6:49PM,,,
1/1/2018,Babylon,Depart:,Penn Station, 5:56PM,Off Peak,6124,Late - 29 mins
,,Arrive:,Babylon Station, 7:12PM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 5:59PM,Off Peak,6129,Canceled
,,Arrive:,Penn Station, 7:14PM,,,
1/1/2018,Babylon,Depart:,Penn Station, 6:26PM,Off Peak,6126,Canceled
,,Arrive:,Babylon Station, 7:42PM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 6:28PM,Off Peak,6131,Canceled
,,Arrive:,Penn Station, 7:44PM,,,
1/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 6:40PM,Off Peak,8063,Late - 9 mins
,,Arrive:,Penn Station, 7:59PM,,,
1/1/2018,Babylon,Depart:,Penn Station, 6:56PM,Off Peak,6128,Late - 55 mins
,,Arrive:,Babylon Station, 8:12PM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 6:58PM,Off Peak,6133,Late - 36 mins
,,Arrive:,Penn Station, 8:14PM,,,
1/1/2018,Hunt. Hicks.,Depart:,Huntington Station, 7:03PM,Off Peak,7729,Late - 6 mins
,,Arrive:,Penn Station, 8:07PM,,,
1/1/2018,Montauk,Depart:,Babylon Station, 7:17PM,Off Peak,8776,Late - 11 mins
,,Arrive:,Patchogue Station, 7:47PM,,,
1/1/2018,Babylon,Depart:,Penn Station, 7:26PM,Off Peak,6130,Canceled
,,Arrive:,Babylon Station, 8:43PM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 7:28PM,Off Peak,6135,Canceled
,,Arrive:,Penn Station, 8:44PM,,,
1/1/2018,Montauk,Depart:,Montauk Station, 7:33PM,Off Peak,8719,Late - 11 mins
,,Arrive:,Jamaica Station,10:10PM,,,
1/1/2018,Montauk,Depart:,Jamaica Station, 7:41PM,Off Peak,8738,Late - 7 mins
,,Arrive:,Speonk Station, 9:15PM,,,
1/1/2018,Babylon,Depart:,Penn Station, 7:56PM,Off Peak,6132,Late - 38 mins
,,Arrive:,Babylon Station, 9:12PM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 7:59PM,Off Peak,6137,Late - 35 mins
,,Arrive:,Penn Station, 9:14PM,,,
1/1/2018,Babylon,Depart:,Penn Station, 8:16PM,Off Peak,6134,Canceled
,,Arrive:,Babylon Station, 9:21PM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 8:28PM,Off Peak,6141,Canceled
,,Arrive:,Penn Station, 9:44PM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 8:58PM,Off Peak,6143,Canceled
,,Arrive:,Penn Station,10:14PM,,,
1/1/2018,Babylon,Depart:,Penn Station, 9:26PM,Off Peak,6138,Canceled
,,Arrive:,Babylon Station,10:43PM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 9:28PM,Off Peak,6145,Late - 18 mins
,,Arrive:,Penn Station,10:44PM,,,
1/1/2018,Montauk,Depart:,Jamaica Station, 9:41PM,Off Peak,8712,Late - 22 mins
,,Arrive:,Montauk Station,12:20AM,,,
1/1/2018,Babylon,Depart:,Penn Station, 9:56PM,Off Peak,6140,Late - 8 mins
,,Arrive:,Babylon Station,11:12PM,,,
1/1/2018,Babylon,Depart:,Babylon Station, 9:59PM,Off Peak,6147,Canceled
,,Arrive:,Penn Station,11:14PM,,,
1/1/2018,Babylon,Depart:,Penn Station,10:16PM,Off Peak,6142,Canceled
,,Arrive:,Babylon Station,11:21PM,,,
1/1/2018,Babylon,Depart:,Babylon Station,10:28PM,Off Peak,6149,Late - 9 mins
,,Arrive:,Penn Station,11:44PM,,,
1/1/2018,Babylon,Depart:,Penn Station,10:40PM,Off Peak,6144,Canceled
,,Arrive:,Babylon Station,11:56PM,,,
1/1/2018,Babylon,Depart:,Penn Station,10:56PM,Off Peak,6146,Late - 9 mins
,,Arrive:,Babylon Station,12:11AM,,,
1/1/2018,Babylon,Depart:,Penn Station,11:29PM,Off Peak,6148,Canceled
,,Arrive:,Babylon Station,12:45AM,,,
1/1/2018,Hunt. Hicks.,Depart:,Penn Station,11:43PM,Off Peak,7746,Late - 10 mins
,,Arrive:,Huntington Station,12:48AM,,,
1/1/2018,Montauk,Depart:,Speonk Station,11:56PM,Off Peak,8745,Partially Canceled
,,Arrive:,Jamaica Station, 1:39AM,,,
1/2/2018,Babylon,Depart:,Penn Station,12:09AM,Off Peak,2,Late - 56 mins
,,Arrive:,Babylon Station, 1:28AM,,,
1/2/2018,Babylon,Depart:,Penn Station,12:46AM,Off Peak,4,Late - 33 mins
,,Arrive:,Babylon Station, 2:03AM,,,
1/2/2018,Babylon,Depart:,Babylon Station,12:59AM,Off Peak,3,Canceled
,,Arrive:,Penn Station, 2:12AM,,,
1/2/2018,Montauk,Depart:,Jamaica Station, 1:11AM,Off Peak,2702,Partially Canceled
,,Arrive:,Montauk Station, 3:57AM,,,
1/2/2018,Babylon,Depart:,Babylon Station, 1:35AM,Off Peak,5,Late - 32 mins
,,Arrive:,Penn Station, 2:51AM,,,
1/2/2018,Babylon,Depart:,Penn Station, 1:43AM,Off Peak,6,Late - 23 mins
,,Arrive:,Babylon Station, 3:00AM,,,
1/2/2018,Babylon,Depart:,Babylon Station, 3:21AM,Off Peak,7,Late - 15 mins
,,Arrive:,Penn Station, 4:18AM,,,
1/2/2018,Montauk,Depart:,Speonk Station, 5:08AM,AM Peak,2733,Late - 7 mins
,,Arrive:,Penn Station, 7:02AM,,,
1/2/2018,Babylon,Depart:,Babylon Station, 5:17AM,AM Peak,15,Late - 16 mins
,,Arrive:,Atlantic Terminal, 6:32AM,,,
1/2/2018,Montauk,Depart:,Montauk Station, 5:39AM,AM Peak,2703,Canceled
,,Arrive:,Long Island City, 8:44AM,,,
1/2/2018,Port Jefferson,Depart:,Port Jefferson Station, 5:44AM,AM Peak,605,Late - 10 mins
,,Arrive:,Penn Station, 7:20AM,,,
1/2/2018,Babylon,Depart:,Massapequa Park Station, 6:13AM,AM Peak,1003,Late - 7 mins
,,Arrive:,Penn Station, 7:08AM,,,
1/2/2018,Hunt. Hicks.,Depart:,Huntington Station, 6:15AM,AM Peak,1617,Late - 7 mins
,,Arrive:,Penn Station, 7:17AM,,,
1/2/2018,Babylon,Depart:,Babylon Station, 6:15AM,AM Peak,27,Late - 8 mins
,,Arrive:,Atlantic Terminal, 7:27AM,,,
1/2/2018,Hunt. Hicks.,Depart:,Hicksville Station, 6:25AM,AM Peak,1203,Late - 8 mins
,,Arrive:,Penn Station, 7:11AM,,,
1/2/2018,Port Washington,Depart:,Port Washington Station, 6:27AM,AM Peak,413,Late - 8 mins
,,Arrive:,Penn Station, 7:14AM,,,
1/2/2018,Babylon,Depart:,Penn Station, 6:37AM,Off Peak,14,Late - 7 mins
,,Arrive:,Babylon Station, 7:51AM,,,
1/2/2018,Hunt. Hicks.,Depart:,Huntington Station, 6:38AM,AM Peak,1619,Late - 6 mins
,,Arrive:,Atlantic Terminal, 7:36AM,,,
1/2/2018,Long Beach,Depart:,Atlantic Terminal, 6:48AM,Off Peak,808,Late - 15 mins
,,Arrive:,Long Beach Station, 7:36AM,,,
1/2/2018,Babylon,Depart:,Babylon Station, 6:52AM,AM Peak,33,Late - 7 mins
,,Arrive:,Atlantic Terminal, 7:59AM,,,
1/2/2018,West Hempstead,Depart:,West Hempstead Station, 6:53AM,AM Peak,903,Late - 6 mins
,,Arrive:,Atlantic Terminal, 7:41AM,,,
1/2/2018,Long Beach,Depart:,Long Beach Station, 6:54AM,AM Peak,813,Late - 7 mins
,,Arrive:,Atlantic Terminal, 7:49AM,,,
1/2/2018,Babylon,Depart:,Freeport Station, 6:57AM,AM Peak,1101,Canceled
,,Arrive:,Penn Station, 7:40AM,,,
1/2/2018,Babylon,Depart:,Massapequa Park Station, 6:59AM,AM Peak,1011,Late - 9 mins
,,Arrive:,Atlantic Terminal, 7:54AM,,,
1/2/2018,Port Jefferson,Depart:,Huntington Station, 7:07AM,Off Peak,604,Late - 7 mins
,,Arrive:,Port Jefferson Station, 8:00AM,,,
1/2/2018,Babylon,Depart:,Babylon Station, 7:10AM,AM Peak,35,Late - 6 mins
,,Arrive:,Penn Station, 8:20AM,,,
1/2/2018,Montauk,Depart:,Speonk Station, 7:12AM,AM Peak,2739,Late - 32 mins
,,Arrive:,Hunterspoint Ave., 9:11AM,,,
1/2/2018,West Hempstead,Depart:,West Hempstead Station, 7:16AM,AM Peak,905,Late - 7 mins
,,Arrive:,Atlantic Terminal, 8:03AM,,,
1/2/2018,Babylon,Depart:,Freeport Station, 7:29AM,AM Peak,1103,Canceled
,,Arrive:,Penn Station, 8:13AM,,,
1/2/2018,Babylon,Depart:,Babylon Station, 7:29AM,AM Peak,39,Late - 6 mins
,,Arrive:,Atlantic Terminal, 8:43AM,,,
1/2/2018,Long Beach,Depart:,Atlantic Terminal, 7:30AM,Off Peak,812,Late - 14 mins
,,Arrive:,Long Beach Station, 8:22AM,,,
1/2/2018,Port Jefferson,Depart:,Port Jefferson Station, 7:35AM,AM Peak,615,Late - 20 mins
,,Arrive:,Penn Station, 9:24AM,,,
1/2/2018,Babylon,Depart:,Babylon Station, 7:45AM,AM Peak,45,Late - 10 mins
,,Arrive:,Penn Station, 8:56AM,,,
1/2/2018,Hempstead,Depart:,Atlantic Terminal, 7:51AM,Off Peak,710,Late - 10 mins
,,Arrive:,Hempstead Station, 8:38AM,,,
1/2/2018,Long Beach,Depart:,Atlantic Terminal, 8:05AM,Off Peak,814,Late - 7 mins
,,Arrive:,Long Beach Station, 8:55AM,,,
1/2/2018,Babylon,Depart:,Freeport Station, 8:10AM,AM Peak,1105,Canceled
,,Arrive:,Penn Station, 8:50AM,,,
1/2/2018,Oyster Bay,Depart:,Oyster Bay Station, 8:16AM,AM Peak,511,Canceled
,,Arrive:,Long Island City, 9:36AM,,,
1/2/2018,Babylon,Depart:,Freeport Station, 8:25AM,AM Peak,1107,Canceled
,,Arrive:,Penn Station, 9:08AM,,,
1/2/2018,Babylon,Depart:,Babylon Station, 8:35AM,AM Peak,51,Late - 7 mins
,,Arrive:,Penn Station, 9:37AM,,,
1/2/2018,Port Jefferson,Depart:,Port Jefferson Station, 8:36AM,Off Peak,617,Canceled
,,Arrive:,Hicksville Station, 9:46AM,,,
1/2/2018,Long Beach,Depart:,Long Beach Station, 8:38AM,AM Peak,827,Late - 10 mins
,,Arrive:,Atlantic Terminal, 9:26AM,,,
1/2/2018,Hempstead,Depart:,Hempstead Station, 8:45AM,AM Peak,727,Late - 9 mins
,,Arrive:,Atlantic Terminal, 9:34AM,,,
1/2/2018,Port Washington,Depart:,Penn Station, 8:52AM,Off Peak,414,Late - 10 mins
,,Arrive:,Port Washington Station, 9:37AM,,,
1/2/2018,Montauk,Depart:,Babylon Station, 8:57AM,Off Peak,2704,Late - 13 mins
,,Arrive:,Montauk Station,10:57AM,,,
1/2/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 9:15AM,Off Peak,2037,Late - 34 mins
,,Arrive:,Penn Station,10:37AM,,,
1/2/2018,Port Washington,Depart:,Port Washington Station, 9:40AM,Off Peak,433,Late - 9 mins
,,Arrive:,Penn Station,10:25AM,,,
1/2/2018,Babylon,Depart:,Babylon Station, 9:48AM,Off Peak,57,Late - 11 mins
,,Arrive:,Penn Station,11:02AM,,,
1/2/2018,Babylon,Depart:,Babylon Station,10:00AM,Off Peak,59,Late - 10 mins
,,Arrive:,Penn Station,11:08AM,,,
1/2/2018,Long Beach,Depart:,Long Beach Station,10:12AM,Off Peak,831,Late - 11 mins
,,Arrive:,Penn Station,11:05AM,,,
1/2/2018,Montauk,Depart:,Jamaica Station,11:25AM,Off Peak,2706,Late - 12 mins
,,Arrive:,Montauk Station, 2:15PM,,,
1/2/2018,Port Washington,Depart:,Penn Station,11:50AM,Off Peak,426,Partially Canceled
,,Arrive:,Port Washington Station,12:35PM,,,
1/2/2018,Port Washington,Depart:,Port Washington Station,12:10PM,Off Peak,443,Canceled
,,Arrive:,Penn Station,12:55PM,,,
1/2/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station,12:11PM,Off Peak,2051,Late - 6 mins
,,Arrive:,Penn Station, 1:33PM,,,
1/2/2018,Port Washington,Depart:,Penn Station,12:20PM,Off Peak,428,Partially Canceled
,,Arrive:,Port Washington Station, 1:05PM,,,
1/2/2018,Port Washington,Depart:,Port Washington Station,12:40PM,Off Peak,445,Partially Canceled
,,Arrive:,Penn Station, 1:25PM,,,
1/2/2018,Port Washington,Depart:,Penn Station,12:50PM,Off Peak,430,Partially Canceled
,,Arrive:,Port Washington Station, 1:35PM,,,
1/2/2018,Port Washington,Depart:,Port Washington Station, 1:10PM,Off Peak,447,Partially Canceled
,,Arrive:,Penn Station, 1:55PM,,,
1/2/2018,Port Washington,Depart:,Penn Station, 1:20PM,Off Peak,432,Partially Canceled
,,Arrive:,Port Washington Station, 2:05PM,,,
1/2/2018,Port Washington,Depart:,Port Washington Station, 1:41PM,Off Peak,449,Partially Canceled
,,Arrive:,Penn Station, 2:26PM,,,
1/2/2018,Port Washington,Depart:,Penn Station, 1:47PM,Off Peak,434,Partially Canceled
,,Arrive:,Port Washington Station, 2:35PM,,,
1/2/2018,Montauk,Depart:,Speonk Station, 2:00PM,Off Peak,2743,Late - 34 mins
,,Arrive:,Jamaica Station, 3:36PM,,,
1/2/2018,Port Washington,Depart:,Port Washington Station, 2:10PM,Off Peak,451,Partially Canceled
,,Arrive:,Penn Station, 2:55PM,,,
1/2/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 2:11PM,Off Peak,2055,Late - 6 mins
,,Arrive:,Penn Station, 3:33PM,,,
1/2/2018,Port Washington,Depart:,Port Washington Station, 2:40PM,Off Peak,453,Partially Canceled
,,Arrive:,Penn Station, 3:25PM,,,
1/2/2018,Montauk,Depart:,Montauk Station, 2:51PM,Off Peak,2709,Late - 6 mins
,,Arrive:,Jamaica Station, 5:50PM,,,
1/2/2018,Babylon,Depart:,Babylon Station, 3:42PM,Off Peak,123,Late - 10 mins
,,Arrive:,Penn Station, 4:55PM,,,
1/2/2018,Hempstead,Depart:,Hempstead Station, 4:04PM,Off Peak,759,Late - 8 mins
,,Arrive:,Atlantic Terminal, 4:52PM,,,
1/2/2018,Montauk,Depart:,Long Island City, 4:28PM,PM Peak,2778,Late - 7 mins
,,Arrive:,Patchogue Station, 6:14PM,,,
1/2/2018,Port Jefferson,Depart:,Penn Station, 4:50PM,PM Peak,660,Late - 46 mins
,,Arrive:,Port Jefferson Station, 6:36PM,,,
1/2/2018,Port Jefferson,Depart:,Hunterspoint Ave., 5:12PM,PM Peak,662,Late - 24 mins
,,Arrive:,Port Jefferson Station, 7:00PM,,,
1/2/2018,Port Jefferson,Depart:,Long Island City, 5:30PM,PM Peak,664,Late - 15 mins
,,Arrive:,Port Jefferson Station, 7:30PM,,,
1/2/2018,Babylon,Depart:,Babylon Station, 5:39PM,Off Peak,133,Late - 6 mins
,,Arrive:,Penn Station, 6:51PM,,,
1/2/2018,Babylon,Depart:,Penn Station, 5:41PM,PM Peak,1062,Late - 7 mins
,,Arrive:,Seaford Station, 6:30PM,,,
1/2/2018,West Hempstead,Depart:,Jamaica Station, 5:48PM,Off Peak,955,Late - 8 mins
,,Arrive:,Atlantic Terminal, 6:06PM,,,
1/2/2018,Port Washington,Depart:,Penn Station, 5:51PM,PM Peak,362,Canceled
,,Arrive:,Great Neck Station, 6:19PM,,,
1/2/2018,Port Washington,Depart:,Penn Station, 5:57PM,PM Peak,364,Late - 9 mins
,,Arrive:,Great Neck Station, 6:31PM,,,
