Date,Branch,Type,Station,Time,Period,trip_short_name,Status
6/1/2018,Montauk,Depart:,Speonk Station, 4:37AM,AM Peak,2731,Late - 7 mins
,,Arrive:,Babylon Station, 5:37AM,,,
6/1/2018,Babylon,Depart:,Babylon Station, 6:15AM,AM Peak,27,Late - 7 mins
,,Arrive:,Atlantic Terminal, 7:27AM,,,
6/1/2018,Babylon,Depart:,Lindenhurst Station, 6:31AM,AM Peak,1007,Late - 7 mins
,,Arrive:,Penn Station, 7:33AM,,,
6/1/2018,Montauk,Depart:,Speonk Station, 7:12AM,AM Peak,2739,Late - 6 mins
,,Arrive:,Hunterspoint Ave., 9:11AM,,,
6/1/2018,Babylon,Depart:,Babylon Station, 7:35AM,AM Peak,43,Late - 7 mins
,,Arrive:,Penn Station, 8:48AM,,,
6/1/2018,Babylon,Depart:,Freeport Station, 8:10AM,AM Peak,1105,Late - 7 mins
,,Arrive:,Penn Station, 8:50AM,,,
6/1/2018,Port Washington,Depart:,Port Washington Station, 8:18AM,AM Peak,427,Late - 7 mins
,,Arrive:,Penn Station, 9:02AM,,,
6/1/2018,Port Washington,Depart:,Great Neck Station, 8:24AM,AM Peak,309,Canceled
,,Arrive:,Penn Station, 8:59AM,,,
6/1/2018,Ronk. (greenpt.),Depart:,Penn Station,12:15PM,Off Peak,2050,Late - 9 mins
,,Arrive:,Ronkonkoma Station, 1:37PM,,,
6/1/2018,Ronk. (greenpt.),Depart:,Penn Station, 1:15PM,Off Peak,2052,Late - 12 mins
,,Arrive:,Ronkonkoma Station, 2:37PM,,,
6/1/2018,Ronk. (greenpt.),Depart:,Penn Station, 2:15PM,Off Peak,2054,Late - 12 mins
,,Arrive:,Ronkonkoma Station, 3:37PM,,,
6/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 2:41PM,Off Peak,2055,Late - 23 mins
,,Arrive:,Penn Station, 4:03PM,,,
6/1/2018,Babylon,Depart:,Babylon Station, 2:48PM,Off Peak,117,Late - 9 mins
,,Arrive:,Penn Station, 4:07PM,,,
6/1/2018,Hunt. Hicks.,Depart:,Huntington Station, 3:03PM,Off Peak,1707,Late - 10 mins
,,Arrive:,Penn Station, 4:13PM,,,
6/1/2018,Babylon,Depart:,Babylon Station, 3:06PM,Off Peak,119,Late - 8 mins
,,Arrive:,Penn Station, 4:22PM,,,
6/1/2018,Long Beach,Depart:,Long Beach Station, 3:09PM,Off Peak,857,Late - 11 mins
,,Arrive:,Penn Station, 3:59PM,,,
6/1/2018,Ronk. (greenpt.),Depart:,Penn Station, 3:10PM,Off Peak,2094,Late - 8 mins
,,Arrive:,Ronkonkoma Station, 4:30PM,,,
6/1/2018,Port Washington,Depart:,Port Washington Station, 3:10PM,Off Peak,455,Late - 11 mins
,,Arrive:,Penn Station, 3:55PM,,,
6/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 3:11PM,Off Peak,2057,Late - 14 mins
,,Arrive:,Penn Station, 4:34PM,,,
6/1/2018,Ronk. (greenpt.),Depart:,Penn Station, 3:15PM,Off Peak,2056,Late - 7 mins
