Date,Branch,Type,Station,Time,Period,trip_short_name,Status
9/1/2018,Oyster Bay,Depart:,Jamaica Station, 1:46AM,Off Peak,6500,Late - 6 mins
,,Arrive:,Oyster Bay Station, 2:41AM,,,
9/1/2018,Ronk. (greenpt.),Depart:,Penn Station, 2:54AM,Off Peak,8004,Late - 9 mins
,,Arrive:,Ronkonkoma Station, 4:14AM,,,
9/1/2018,Montauk,Depart:,Speonk Station, 7:00AM,Off Peak,8733,Late - 9 mins
,,Arrive:,Babylon Station, 8:00AM,,,
9/1/2018,Montauk,Depart:,Jamaica Station, 8:10AM,Off Peak,8704,Late - 21 mins
,,Arrive:,Montauk Station,10:49AM,,,
9/1/2018,Port Washington,Depart:,Port Washington Station, 9:42AM,Off Peak,6423,Late - 8 mins
,,Arrive:,Penn Station,10:27AM,,,
9/1/2018,Port Washington,Depart:,Port Washington Station,10:11AM,Off Peak,6425,Late - 7 mins
,,Arrive:,Penn Station,10:56AM,,,
9/1/2018,Port Washington,Depart:,Port Washington Station,10:42AM,Off Peak,6427,Late - 7 mins
,,Arrive:,Penn Station,11:27AM,,,
9/1/2018,Ronk. (greenpt.),Depart:,Penn Station,11:13AM,Off Peak,8018,Late - 15 mins
,,Arrive:,Ronkonkoma Station,12:35PM,,,
9/1/2018,Montauk,Depart:,Jamaica Station,12:10PM,Off Peak,8710,Late - 20 mins
,,Arrive:,Montauk Station, 2:53PM,,,
9/1/2018,Ronk. (greenpt.),Depart:,Penn Station,12:13PM,Off Peak,8050,Late - 11 mins
,,Arrive:,Ronkonkoma Station, 1:35PM,,,
9/1/2018,Long Beach,Depart:,Penn Station,12:16PM,Off Peak,6896,Late - 7 mins
,,Arrive:,Long Beach Station, 1:02PM,,,
9/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station,12:40PM,Off Peak,8051,Late - 12 mins
,,Arrive:,Penn Station, 1:59PM,,,
9/1/2018,Ronk. (greenpt.),Depart:,Penn Station, 2:13PM,Off Peak,8054,Late - 38 mins
,,Arrive:,Ronkonkoma Station, 3:35PM,,,
9/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 2:40PM,Off Peak,8055,Late - 7 mins
,,Arrive:,Penn Station, 3:59PM,,,
9/1/2018,Port Washington,Depart:,Port Washington Station, 2:42PM,Off Peak,6461,Late - 7 mins
,,Arrive:,Penn Station, 3:27PM,,,
9/1/2018,Long Beach,Depart:,Penn Station, 2:43PM,Off Peak,6854,Late - 7 mins
,,Arrive:,Long Beach Station, 3:39PM,,,
9/1/2018,Port Washington,Depart:,Port Washington Station, 3:11PM,Off Peak,6463,Late - 8 mins
,,Arrive:,Penn Station, 3:56PM,,,
9/1/2018,Ronk. (greenpt.),Depart:,Penn Station, 3:13PM,Off Peak,8056,Late - 13 mins
,,Arrive:,Ronkonkoma Station, 4:35PM,,,
9/1/2018,Ronk. (greenpt.),Depart:,Penn Station, 4:13PM,Off Peak,8058,Late - 29 mins
,,Arrive:,Ronkonkoma Station, 5:35PM,,,
9/1/2018,Montauk,Depart:,Babylon Station, 4:26PM,Off Peak,8770,Late - 6 mins
,,Arrive:,Patchogue Station, 4:56PM,,,
9/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 4:40PM,Off Peak,8059,Late - 20 mins
,,Arrive:,Penn Station, 5:59PM,,,
9/1/2018,Hempstead,Depart:,Atlantic Terminal, 4:44PM,Off Peak,6758,Partially Canceled
,,Arrive:,Hempstead Station, 5:35PM,,,
9/1/2018,Port Washington,Depart:,Port Washington Station, 5:11PM,Off Peak,6471,Late - 6 mins
,,Arrive:,Penn Station, 5:56PM,,,
9/1/2018,Ronk. (greenpt.),Depart:,Penn Station, 5:13PM,Off Peak,8060,Late - 9 mins
,,Arrive:,Ronkonkoma Station, 6:35PM,,,
9/1/2018,Far Rockaway,Depart:,Atlantic Terminal, 5:14PM,Off Peak,8860,Late - 14 mins
,,Arrive:,Far Rockaway Station, 6:05PM,,,
9/1/2018,Long Beach,Depart:,Long Beach Station, 5:24PM,Off Peak,6865,Late - 6 mins
,,Arrive:,Penn Station, 6:21PM,,,
9/1/2018,Hempstead,Depart:,Atlantic Terminal, 5:44PM,Off Peak,6760,Late - 7 mins
,,Arrive:,Hempstead Station, 6:35PM,,,
9/1/2018,West Hempstead,Depart:,Valley Stream Station, 5:48PM,Off Peak,6956,Late - 13 mins
,,Arrive:,West Hempstead Station, 6:03PM,,,
9/1/2018,Port Washington,Depart:,Penn Station, 5:49PM,Off Peak,6472,Late - 7 mins
,,Arrive:,Port Washington Station, 6:35PM,,,
9/1/2018,Hunt. Hicks.,Depart:,Penn Station, 7:22PM,Off Peak,7730,Late - 7 mins
,,Arrive:,Huntington Station, 8:28PM,,,
9/1/2018,Montauk,Depart:,Jamaica Station, 7:41PM,Off Peak,8738,Late - 11 mins
,,Arrive:,Speonk Station, 9:15PM,,,
