Date,Branch,Type,Station,Time,Period,trip_short_name,Status
10/1/2018,Hunt. Hicks.,Depart:,Huntington Station, 1:36AM,Off Peak,1605,Late - 6 mins
,,Arrive:,Penn Station, 2:43AM,,,
10/1/2018,Oyster Bay,Depart:,Jamaica Station, 1:39AM,Off Peak,500,Late - 11 mins
,,Arrive:,Oyster Bay Station, 2:35AM,,,
10/1/2018,Babylon,Depart:,Babylon Station, 5:17AM,AM Peak,15,Late - 7 mins
,,Arrive:,Atlantic Terminal, 6:32AM,,,
10/1/2018,Far Rockaway,Depart:,Far Rockaway Station, 7:18AM,AM Peak,2817,Late - 9 mins
,,Arrive:,Atlantic Terminal, 8:11AM,,,
10/1/2018,Babylon,Depart:,Penn Station, 8:10AM,Off Peak,24,Late - 7 mins
,,Arrive:,Babylon Station, 9:20AM,,,
10/1/2018,Babylon,Depart:,Babylon Station, 8:35AM,AM Peak,51,Partially Canceled
,,Arrive:,Penn Station, 9:37AM,,,
10/1/2018,Montauk,Depart:,Jamaica Station, 8:52AM,Off Peak,2764,Late - 8 mins
,,Arrive:,Patchogue Station, 9:56AM,,,
10/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station,10:11AM,Off Peak,2039,Late - 8 mins
,,Arrive:,Penn Station,11:33AM,,,
10/1/2018,Port Washington,Depart:,Port Washington Station,10:40AM,Off Peak,437,Late - 6 mins
,,Arrive:,Penn Station,11:25AM,,,
10/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station,11:11AM,Off Peak,2041,Late - 6 mins
,,Arrive:,Penn Station,12:33PM,,,
10/1/2018,Babylon,Depart:,Babylon Station,11:15AM,Off Peak,67,Late - 7 mins
,,Arrive:,Penn Station,12:30PM,,,
10/1/2018,Hunt. Hicks.,Depart:,Penn Station,11:36AM,Off Peak,1622,Late - 17 mins
,,Arrive:,Huntington Station,12:45PM,,,
10/1/2018,Babylon,Depart:,Babylon Station,12:48PM,Off Peak,107,Late - 7 mins
,,Arrive:,Penn Station, 2:02PM,,,
10/1/2018,Hempstead,Depart:,Hempstead Station, 1:11PM,Off Peak,753,Late - 7 mins
,,Arrive:,Atlantic Terminal, 2:03PM,,,
10/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 2:11PM,Off Peak,2055,Late - 7 mins
,,Arrive:,Penn Station, 3:33PM,,,
10/1/2018,Babylon,Depart:,Babylon Station, 2:15PM,Off Peak,115,Late - 6 mins
,,Arrive:,Penn Station, 3:30PM,,,
10/1/2018,Babylon,Depart:,Penn Station, 4:38PM,PM Peak,1054,Late - 7 mins
,,Arrive:,Wantagh Station, 5:27PM,,,
10/1/2018,Babylon,Depart:,Penn Station, 4:53PM,PM Peak,148,Late - 7 mins
,,Arrive:,Babylon Station, 5:55PM,,,
10/1/2018,Hempstead,Depart:,Hempstead Station, 4:53PM,Off Peak,761,Late - 8 mins
,,Arrive:,Atlantic Terminal, 5:49PM,,,
10/1/2018,Hunt. Hicks.,Depart:,Huntington Station, 5:11PM,Off Peak,1715,Late - 8 mins
,,Arrive:,Penn Station, 6:21PM,,,
10/1/2018,West Hempstead,Depart:,Jamaica Station, 5:48PM,Off Peak,955,Late - 6 mins
,,Arrive:,Atlantic Terminal, 6:06PM,,,
10/1/2018,Port Washington,Depart:,Penn Station, 6:15PM,PM Peak,366,Late - 9 mins
,,Arrive:,Great Neck Station, 6:50PM,,,
10/1/2018,Port Washington,Depart:,Penn Station, 6:25PM,PM Peak,458,Late - 9 mins
,,Arrive:,Port Washington Station, 7:06PM,,,
10/1/2018,Port Jefferson,Depart:,Huntington Station,10:55PM,Off Peak,674,Late - 6 mins
,,Arrive:,Port Jefferson Station,11:44PM,,,
10/2/2018,Babylon,Depart:,Babylon Station, 1:00AM,Off Peak,3,Late - 7 mins
,,Arrive:,Penn Station, 2:15AM,,,
10/2/2018,Hunt. Hicks.,Depart:,Huntington Station, 5:27AM,AM Peak,1611,Late - 6 mins
,,Arrive:,Penn Station, 6:35AM,,,
10/2/2018,Hempstead,Depart:,Hempstead Station, 5:58AM,AM Peak,711,Late - 8 mins
,,Arrive:,Atlantic Terminal, 6:47AM,,,
10/2/2018,Montauk,Depart:,Speonk Station, 7:12AM,AM Peak,2739,Late - 7 mins
,,Arrive:,Hunterspoint Ave., 9:11AM,,,
10/2/2018,Oyster Bay,Depart:,Oyster Bay Station, 7:13AM,AM Peak,507,Canceled
,,Arrive:,Long Island City, 8:37AM,,,
10/2/2018,Oyster Bay,Depart:,Oyster Bay Station, 7:41AM,AM Peak,509,Late - 9 mins
,,Arrive:,Hunterspoint Ave., 8:55AM,,,
10/2/2018,Port Washington,Depart:,Great Neck Station, 9:32AM,Off Peak,315,Late - 6 mins
,,Arrive:,Penn Station,10:08AM,,,
10/2/2018,Babylon,Depart:,Babylon Station,11:15AM,Off Peak,67,Late - 6 mins
,,Arrive:,Penn Station,12:30PM,,,
10/2/2018,Port Jefferson,Depart:,Port Jefferson Station,11:36AM,Off Peak,623,Late - 8 mins
,,Arrive:,Hicksville Station,12:44PM,,,
10/2/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 2:11PM,Off Peak,2055,Late - 6 mins
,,Arrive:,Penn Station, 3:33PM,,,
10/2/2018,Babylon,Depart:,Babylon Station, 2:15PM,Off Peak,115,Late - 6 mins
,,Arrive:,Penn Station, 3:30PM,,,
10/2/2018,Montauk,Depart:,Patchogue Station, 2:29PM,Off Peak,2743,Late - 6 mins
,,Arrive:,Jamaica Station, 3:36PM,,,
10/2/2018,Ronk. (greenpt.),Depart:,Penn Station, 3:08PM,Off Peak,2094,Late - 22 mins
,,Arrive:,Ronkonkoma Station, 4:25PM,,,
10/2/2018,Ronk. (greenpt.),Depart:,Penn Station, 3:15PM,Off Peak,2056,Late - 16 mins
,,Arrive:,Ronkonkoma Station, 4:34PM,,,
10/2/2018,Port Washington,Depart:,Penn Station, 3:50PM,Off Peak,442,Late - 8 mins
,,Arrive:,Port Washington Station, 4:34PM,,,
10/2/2018,Ronk. (greenpt.),Depart:,Penn Station, 3:56PM,Off Peak,2058,Late - 9 mins
,,Arrive:,Ronkonkoma Station, 5:16PM,,,
10/2/2018,Babylon,Depart:,Babylon Station, 4:08PM,Off Peak,127,Late - 9 mins
,,Arrive:,Penn Station, 5:23PM,,,
10/2/2018,Ronk. (greenpt.),Depart:,Penn Station, 4:10PM,Off Peak,2350,Late - 6 mins
,,Arrive:,Farmingdale Station, 5:04PM,,,
10/2/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 4:46PM,Off Peak,2061,Late - 23 mins
,,Arrive:,Penn Station, 6:10PM,,,
10/2/2018,Port Jefferson,Depart:,Penn Station, 4:50PM,PM Peak,660,Partially Canceled
,,Arrive:,Port Jefferson Station, 6:36PM,,,
10/2/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 5:21PM,Off Peak,252,Late - 8 mins
,,Arrive:,Yaphank Station, 5:40PM,,,
10/2/2018,Ronk. (greenpt.),Depart:,Yaphank Station, 6:10PM,Off Peak,253,Late - 6 mins
,,Arrive:,Ronkonkoma Station, 6:30PM,,,
10/2/2018,Port Washington,Depart:,Great Neck Station, 6:23PM,Off Peak,353,Late - 6 mins
,,Arrive:,Penn Station, 6:58PM,,,
10/2/2018,Hunt. Hicks.,Depart:,Huntington Station,10:00PM,Off Peak,1727,Late - 6 mins
,,Arrive:,Penn Station,11:06PM,,,
10/2/2018,Port Washington,Depart:,Port Washington Station,10:38PM,Off Peak,483,Late - 7 mins
,,Arrive:,Penn Station,11:22PM,,,
10/3/2018,Montauk,Depart:,Montauk Station, 1:00AM,Off Peak,2701,Late - 23 mins
,,Arrive:,Babylon Station, 3:16AM,,,
