Date,Branch,Type,Station,Time,Period,trip_short_name,Status
3/1/2018,Babylon,Depart:,Babylon Station, 4:39AM,Off Peak,11,Late - 18 mins
,,Arrive:,Penn Station, 5:55AM,,,
3/1/2018,Long Beach,Depart:,Atlantic Terminal, 8:05AM,Off Peak,814,Late - 7 mins
,,Arrive:,Long Beach Station, 8:55AM,,,
3/1/2018,Port Jefferson,Depart:,Port Jefferson Station,11:36AM,Off Peak,623,Partially Canceled
,,Arrive:,Hicksville Station,12:44PM,,,
3/1/2018,Port Jefferson,Depart:,Hicksville Station, 1:08PM,Off Peak,650,Canceled
,,Arrive:,Port Jefferson Station, 2:10PM,,,
3/1/2018,Port Jefferson,Depart:,Port Jefferson Station, 2:36PM,Off Peak,653,Canceled
,,Arrive:,Huntington Station, 3:26PM,,,
3/1/2018,Babylon,Depart:,Babylon Station, 3:42PM,Off Peak,123,Late - 8 mins
,,Arrive:,Penn Station, 4:55PM,,,
3/1/2018,Long Beach,Depart:,Long Beach Station, 4:02PM,Off Peak,861,Late - 11 mins
,,Arrive:,Penn Station, 4:58PM,,,
3/1/2018,Babylon,Depart:,Babylon Station, 4:06PM,Off Peak,125,Late - 10 mins
,,Arrive:,Penn Station, 5:05PM,,,
3/1/2018,Ronk. (greenpt.),Depart:,Penn Station, 4:10PM,Off Peak,2350,Late - 13 mins
,,Arrive:,Farmingdale Station, 5:04PM,,,
3/1/2018,Oyster Bay,Depart:,Hunterspoint Ave., 4:18PM,PM Peak,558,Late - 11 mins
,,Arrive:,Oyster Bay Station, 5:30PM,,,
3/1/2018,Hunt. Hicks.,Depart:,Penn Station, 4:32PM,PM Peak,1722,Late - 6 mins
,,Arrive:,Huntington Station, 5:31PM,,,
3/1/2018,Hempstead,Depart:,Hempstead Station, 4:53PM,Off Peak,761,Late - 7 mins
,,Arrive:,Atlantic Terminal, 5:49PM,,,
3/1/2018,Port Jefferson,Depart:,Long Island City, 5:30PM,PM Peak,664,Late - 10 mins
,,Arrive:,Port Jefferson Station, 7:30PM,,,
3/1/2018,Hunt. Hicks.,Depart:,Penn Station, 5:34PM,PM Peak,1256,Late - 8 mins
