Date,Branch,Type,Station,Time,Period,trip_short_name,Status
5/1/2018,Ronk. (greenpt.),Depart:,Penn Station,12:15AM,Off Peak,2000,Late - 8 mins
,,Arrive:,Ronkonkoma Station, 1:36AM,,,
5/1/2018,Long Beach,Depart:,Penn Station, 3:00AM,Off Peak,804,Late - 9 mins
,,Arrive:,Long Beach Station, 3:51AM,,,
5/1/2018,Babylon,Depart:,Babylon Station, 3:35AM,Off Peak,9,Late - 8 mins
,,Arrive:,Penn Station, 4:49AM,,,
5/1/2018,Long Beach,Depart:,Long Beach Station, 3:58AM,Off Peak,805,Late - 9 mins
,,Arrive:,Atlantic Terminal, 4:48AM,,,
5/1/2018,Babylon,Depart:,Babylon Station, 4:39AM,Off Peak,11,Late - 15 mins
,,Arrive:,Penn Station, 5:55AM,,,
5/1/2018,Port Jefferson,Depart:,Port Jefferson Station, 5:44AM,AM Peak,605,Late - 7 mins
,,Arrive:,Penn Station, 7:20AM,,,
5/1/2018,Hunt. Hicks.,Depart:,Huntington Station, 6:15AM,AM Peak,1617,Late - 50 mins
,,Arrive:,Penn Station, 7:17AM,,,
5/1/2018,Montauk,Depart:,Speonk Station, 6:19AM,AM Peak,2737,Late - 15 mins
,,Arrive:,Penn Station, 8:19AM,,,
5/1/2018,Ronk. (greenpt.),Depart:,Ronkonkoma Station, 6:24AM,AM Peak,2013,Late - 11 mins
,,Arrive:,Penn Station, 7:30AM,,,
5/1/2018,Hunt. Hicks.,Depart:,Hicksville Station, 6:25AM,AM Peak,1203,Partially Canceled
,,Arrive:,Penn Station, 7:11AM,,,
5/1/2018,Babylon,Depart:,Lindenhurst Station, 6:31AM,AM Peak,1007,Late - 8 mins
,,Arrive:,Penn Station, 7:33AM,,,
5/1/2018,Babylon,Depart:,Babylon Station, 6:32AM,AM Peak,29,Late - 8 mins
,,Arrive:,Penn Station, 7:37AM,,,
5/1/2018,Long Beach,Depart:,Long Beach Station, 6:37AM,AM Peak,811,Late - 7 mins
,,Arrive:,Penn Station, 7:28AM,,,
5/1/2018,Far Rockaway,Depart:,Far Rockaway Station, 6:40AM,AM Peak,2813,Late - 8 mins
,,Arrive:,Penn Station, 7:41AM,,,
5/1/2018,Babylon,Depart:,Babylon Station, 6:42AM,AM Peak,31,Late - 6 mins
,,Arrive:,Penn Station, 7:49AM,,,
5/1/2018,Port Washington,Depart:,Port Washington Station, 6:45AM,AM Peak,415,Late - 6 mins
,,Arrive:,Penn Station, 7:24AM,,,
5/1/2018,Port Jefferson,Depart:,Port Jefferson Station, 6:45AM,AM Peak,611,Late - 7 mins
,,Arrive:,Hunterspoint Ave., 8:30AM,,,
5/1/2018,Ronk. (greenpt.),Depart:,Central Islip Station, 6:54AM,AM Peak,2017,Late - 6 mins
,,Arrive:,Penn Station, 8:06AM,,,
5/1/2018,Long Beach,Depart:,Long Beach Station, 6:54AM,AM Peak,813,Partially Canceled
,,Arrive:,Atlantic Terminal, 7:49AM,,,
5/1/2018,Ronk. (greenpt.),Depart:,Farmingdale Station, 6:57AM,AM Peak,2303,Late - 6 mins
,,Arrive:,Penn Station, 7:48AM,,,
5/1/2018,Hunt. Hicks.,Depart:,Westbury Station, 6:59AM,AM Peak,2401,Late - 10 mins
,,Arrive:,Penn Station, 7:43AM,,,
5/1/2018,Long Beach,Depart:,Long Beach Station, 7:04AM,AM Peak,815,Late - 8 mins
,,Arrive:,Penn Station, 7:57AM,,,
5/1/2018,Far Rockaway,Depart:,Far Rockaway Station, 7:08AM,AM Peak,2815,Late - 7 mins
,,Arrive:,Penn Station, 8:05AM,,,
5/1/2018,Babylon,Depart:,Babylon Station, 7:10AM,AM Peak,35,Late - 9 mins
,,Arrive:,Penn Station, 8:20AM,,,
5/1/2018,Babylon,Depart:,Massapequa Park Station, 7:11AM,AM Peak,1013,Late - 9 mins
,,Arrive:,Penn Station, 8:08AM,,,
5/1/2018,Hunt. Hicks.,Depart:,Huntington Station, 7:12AM,AM Peak,1623,Late - 6 mins
,,Arrive:,Penn Station, 8:10AM,,,
